level	start	end	color	opacity	title
4	16860	17028	#006fff	1.0	Scheduler initiated by="Operation <0>" total=168 us start=16860 us stop=17028 us
4	17050	17053	#003fff	1.0	State Analaysis initiated by="main <16>" total=3 us start=17050 us stop=17053 us
4	17082	17122	#FFC0CB	1.0	ProfTask total=40 us start=17082 us stop=17122 us
4	17129	17470	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="main <16>" total=341 us start=17129 us stop=17470 us
4	17477	17478	#FFC0CB	1.0	ProfTask <16> total=1 us start=17477 us stop=17478 us
4	17479	17480	#FFC0CB	1.0	ProfTask <16> total=1 us start=17479 us stop=17480 us
4	17516	17544	#ff00e3	1.0	Decrement Pending Task initiated by="main <16>" total=28 us start=17516 us stop=17544 us
4	17553	17554	#FFC0CB	1.0	ProfTask <16> total=1 us start=17553 us stop=17554 us
4	17680	17826	#0093ff	1.0	Logical Dependence Analysis initiated by="Task Operation <48>" total=146 us start=17680 us stop=17826 us
4	17833	17956	#006600	1.0	Post initiated by="main <16>" total=123 us start=17833 us stop=17956 us
4	17963	17986	#006fff	1.0	Scheduler initiated by="Operation <0>" total=23 us start=17963 us stop=17986 us
4	17991	17994	#FFC0CB	1.0	ProfTask <16> total=3 us start=17991 us stop=17994 us
4	17996	17996	#FFC0CB	1.0	ProfTask <48> total=0 us start=17996 us stop=17996 us
4	17997	17998	#FFC0CB	1.0	ProfTask <16> total=1 us start=17997 us stop=17998 us
4	17999	18237	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="Task Operation <48>" total=238 us start=17999 us stop=18237 us
4	18245	18246	#FFC0CB	1.0	ProfTask total=1 us start=18245 us stop=18246 us
4	18247	18248	#FFC0CB	1.0	ProfTask <48> total=1 us start=18247 us stop=18248 us
4	19256	19338	#ff7d00	1.0	Message Send Remote Context Request total=82 us start=19256 us stop=19338 us
4	22168	22530	#00b1ff	1.0	Message Task Message total=362 us start=22168 us stop=22530 us
3	22446	22505	#00c3ff	1.0	Message Send Remote Context Response total=59 us start=22446 us stop=22505 us
4	22535	22553	#006fff	1.0	Scheduler initiated by="Operation <0>" total=18 us start=22535 us stop=22553 us
4	22568	22569	#003fff	1.0	State Analaysis initiated by="structured_partition <64>" total=1 us start=22568 us stop=22569 us
4	22573	22574	#FFC0CB	1.0	ProfTask total=1 us start=22573 us stop=22574 us
4	22576	22671	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="structured_partition <64>" total=1215 us start=22576 us stop=23791 us (wait for 1104 us)
4	22671	23768	#2b00ff	0.15	Task Physical Dependence Analysis initiated by="structured_partition <64>" total=1215 us start=22576 us stop=23791 us (wait for 1104 us)
4	23768	23775	#2b00ff	0.45	Task Physical Dependence Analysis initiated by="structured_partition <64>" total=1215 us start=22576 us stop=23791 us (wait for 1104 us)
4	23775	23791	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="structured_partition <64>" total=1215 us start=22576 us stop=23791 us (wait for 1104 us)
3	22675	22676	#FFC0CB	1.0	ProfTask <64> total=1 us start=22675 us stop=22676 us
3	22766	23715	#3dff00	1.0	Message Send Logical Region Node total=949 us start=22766 us stop=23715 us
2	23017	23155	#ff0059	1.0	Message Send Index Space Node total=138 us start=23017 us stop=23155 us
2	23164	23205	#ffdd00	1.0	Message Index Space Destruction total=41 us start=23164 us stop=23205 us
1	23205	23210	#97ff00	1.0	Message Send Index Space Return total=5 us start=23205 us stop=23210 us
2	23405	23514	#00b7ff	1.0	Message Send Field Space Node total=109 us start=23405 us stop=23514 us
2	23521	23558	#00c9ff	1.0	Message Field Space Destruction total=37 us start=23521 us stop=23558 us
1	23558	23579	#002dff	1.0	Message Send Field Space Return total=21 us start=23558 us stop=23579 us
3	23722	23748	#67ff00	1.0	Message Logical Region Destruction total=26 us start=23722 us stop=23748 us
2	23748	23770	#007bff	1.0	Message Send Top Level Region Return total=22 us start=23748 us stop=23770 us
4	23798	23799	#FFC0CB	1.0	ProfTask <64> total=1 us start=23798 us stop=23799 us
